episode,return,epsilon,replay_size,steps
1,-91096.0,0.4951,2000,2000
2,-15096.0,0.4902,4000,4000
1,-5284.0,0.4985594,588,588
2,-21450.0,0.4967121,1342,1342
3,-71795.0,0.4918121,3342,3342
4,-36349.0,0.48825225,4795,4795
5,2084.0,0.48820325,4815,4815
6,-106838.0,0.48442535,6357,6357
7,-8117.0,0.4824139,7178,7178
8,271.0,0.48135305,7611,7611
9,-31285.0,0.47746,9200,9200
10,-1362.0,0.4763183,9666,9666
11,-27195.0,0.4714183,11666,11666
12,1133.0,0.46903935,12637,12637
13,-24696.0,0.46413935,14637,14637
14,-69000.0,0.45923935,16637,16637
1,-1580.0,0.4993042,284,284
2,-28599.0,0.49758185,987,987
3,-238.0,0.49527395,1929,1929
4,-5426.0,0.49348545,2659,2659
5,-5696.0,0.49103545,3659,3659
1,-1085.0,0.49806695,789,789
2,-9411.0,0.4943552,2304,2304
3,1838.0,0.4937035,2570,2570
4,-40300.0,0.4917337,3374,3374
5,1900.0,0.4912339,3578,3578
6,1296.0,0.4892543,4386,4386
7,1202.0,0.4870444,5288,5288
8,900.0,0.4840946,6492,6492
9,-18896.0,0.4816446,7492,7492
10,1803.0,0.48090715,7793,7793
11,1602.0,0.47967725,8295,8295
12,-2318.0,0.47864335,8717,8717
13,-9026.0,0.47685485,9447,9447
14,973.0,0.4755539,9978,9978
15,-84995.0,0.4706539,11978,11978
16,-8207.0,0.46989195,12289,12289
17,1412.0,0.46819655,12981,12981
18,-4191.0,0.4674738,13276,13276
19,-33817.0,0.46423735,14597,14597
20,-6066.0,0.46186085,15567,15567
21,-537.0,0.4607804,16008,16008
22,1734.0,0.4598739,16378,16378
23,1533.0,0.45847495,16949,16949
24,-8012.0,0.45623075,17865,17865
25,-112600.0,0.45133075,19865,19865
26,1513.0,0.4498828,20456,20456
27,-6023.0,0.44859165,20983,20983
28,1801.0,0.4478493,21286,21286
29,1134.0,0.4464528,21856,21856
30,1815.0,0.44574475,22145,22145
31,1640.0,0.44460795,22609,22609
32,-1003.0,0.4433658,23116,23116
33,-1168.0,0.4412294,23988,23988
34,1728.0,0.4403082,24364,24364
35,-1745.0,0.43822815,25213,25213
36,-52239.0,0.4339578,26956,26956
37,1587.0,0.43269115,27473,27473
38,-8343.0,0.431106,28120,28120
39,-2818.0,0.4293371,28842,28842
40,-527.0,0.42828115,29273,29273
41,-32494.0,0.42583605,30271,30271
42,1760.0,0.42499325,30615,30615
43,1690.0,0.42397894999999997,31029,31029
44,854.0,0.42091645,32279,32279
45,-83703.0,0.4169793,33886,33886
46,1378.0,0.4161806,34212,34212
47,-14405.0,0.41395355,35121,35121
48,-9424.0,0.41020995,36649,36649
49,970.0,0.40743165000000003,37783,37783
50,1737.0,0.4065325,38150,38150
51,-28689.0,0.40507965,38743,38743
52,1061.0,0.40350430000000004,39386,39386
53,-15899.0,0.40153695,40189,40189
54,1639.0,0.40039769999999997,40654,40654
55,-2185.0,0.39919965,41143,41143
56,-20257.0,0.3968452,42104,42104
57,1710.0,0.3958799,42498,42498
58,1631.0,0.39472105,42971,42971
59,1725.0,0.3937925,43350,43350
60,555.0,0.39293745,43699,43699
61,1878.0,0.39238375000000003,43925,43925
62,1679.0,0.3913425,44350,44350
63,1457.0,0.38975735,44997,44997
64,-6646.0,0.38840985,45547,45547
65,1529.0,0.3870011,46122,46122
66,-24087.0,0.38506315,46913,46913
67,1375.0,0.3832771,47642,47642
